45.182.244.0/23,BR,BR-BA,Santa Maria da Vitoria,
45.182.247.0/24,BR,BR-BA,Santa Maria da Vitoria,
38.199.222.0/24,BR,BR-BA,Cipo,
2804:6198::/32,BR,BR-BA,Santa Maria da Vitoria,
